gene_callers_id	contig	start	stop	direction	partial	call_type	source	version
0	ERR1713356_000000000012	1	187	f	1	1	prodigal	v2.6.3
1	ERR1713356_000000000012	1038	1794	f	0	1	prodigal	v2.6.3
2	ERR1713356_000000000012	1790	2708	f	0	1	prodigal	v2.6.3
3	ERR1713356_000000000012	2701	3148	f	1	1	prodigal	v2.6.3
4	ERR1713356_000000000156	0	1047	f	1	1	prodigal	v2.6.3
5	ERR1713356_000000000156	1107	2166	f	0	1	prodigal	v2.6.3
6	ERR1713356_000000000156	2259	2877	f	0	1	prodigal	v2.6.3
7	ERR1713356_000000000156	2873	3206	r	1	1	prodigal	v2.6.3
8	ERR1713356_000000000312	2	266	r	1	1	prodigal	v2.6.3
9	ERR1713356_000000000312	280	1186	r	0	1	prodigal	v2.6.3
10	ERR1713356_000000000312	1185	2631	r	0	1	prodigal	v2.6.3
11	ERR1713356_000000000312	2674	3076	r	1	1	prodigal	v2.6.3
12	ERR1713356_000000000452	0	837	f	1	1	prodigal	v2.6.3
13	ERR1713356_000000000452	1028	1193	f	0	1	prodigal	v2.6.3
14	ERR1713356_000000000452	1255	3739	f	0	1	prodigal	v2.6.3
15	ERR1713356_000000000452	3752	4385	f	0	1	prodigal	v2.6.3
16	ERR1713356_000000000452	4401	5112	f	0	1	prodigal	v2.6.3
17	ERR1713356_000000000452	5119	6124	f	0	1	prodigal	v2.6.3
18	ERR1713356_000000000452	6128	7226	f	0	1	prodigal	v2.6.3
19	ERR1713356_000000000452	7222	7954	f	0	1	prodigal	v2.6.3
20	ERR1713356_000000000585	1	373	f	1	1	prodigal	v2.6.3
21	ERR1713356_000000000585	924	2778	r	0	1	prodigal	v2.6.3
22	ERR1713356_000000000712	2	197	r	1	1	prodigal	v2.6.3
23	ERR1713356_000000000712	332	1301	r	0	1	prodigal	v2.6.3
24	ERR1713356_000000000712	1293	2163	r	0	1	prodigal	v2.6.3
25	ERR1713356_000000000712	2188	3556	r	0	1	prodigal	v2.6.3
26	ERR1713356_000000000712	3592	3877	r	0	1	prodigal	v2.6.3
27	ERR1713356_000000000712	3880	5707	r	0	1	prodigal	v2.6.3
28	ERR1713356_000000000712	5895	7374	r	0	1	prodigal	v2.6.3
29	ERR1713356_000000000712	7370	8549	r	0	1	prodigal	v2.6.3
30	ERR1713356_000000000712	8567	10553	r	1	1	prodigal	v2.6.3
31	ERR1713356_000000000836	0	273	f	1	1	prodigal	v2.6.3
32	ERR1713356_000000000836	296	767	f	0	1	prodigal	v2.6.3
33	ERR1713356_000000000836	797	1541	f	0	1	prodigal	v2.6.3
34	ERR1713356_000000000836	1552	2197	f	0	1	prodigal	v2.6.3
35	ERR1713356_000000000836	2222	2540	f	0	1	prodigal	v2.6.3
36	ERR1713356_000000000836	2610	3543	f	0	1	prodigal	v2.6.3
37	ERR1713356_000000000836	3539	4331	f	0	1	prodigal	v2.6.3
38	ERR1713356_000000000836	4367	4610	f	0	1	prodigal	v2.6.3
39	ERR1713356_000000000836	4704	5973	f	0	1	prodigal	v2.6.3
40	ERR1713356_000000000836	6033	6678	f	0	1	prodigal	v2.6.3
41	ERR1713356_000000000836	6711	7137	f	1	1	prodigal	v2.6.3
42	ERR1713356_000000000988	1	211	f	1	1	prodigal	v2.6.3
43	ERR1713356_000000000988	691	1927	f	0	1	prodigal	v2.6.3
44	ERR1713356_000000000988	2389	2728	f	0	1	prodigal	v2.6.3
45	ERR1713356_000000000988	3037	4957	r	0	1	prodigal	v2.6.3
46	ERR1713356_000000000988	5076	5589	f	0	1	prodigal	v2.6.3
47	ERR1713356_000000000988	5848	7036	r	1	1	prodigal	v2.6.3
48	ERR1713356_000000001130	0	615	r	1	1	prodigal	v2.6.3
49	ERR1713356_000000001130	590	812	r	0	1	prodigal	v2.6.3
50	ERR1713356_000000001130	998	1316	r	0	1	prodigal	v2.6.3
51	ERR1713356_000000001130	1462	2317	f	0	1	prodigal	v2.6.3
52	ERR1713356_000000001130	2331	2664	f	1	1	prodigal	v2.6.3
53	ERR1713356_000000001258	0	138	f	1	1	prodigal	v2.6.3
54	ERR1713356_000000001258	304	2518	f	0	1	prodigal	v2.6.3
55	ERR1713356_000000001258	2563	3247	r	0	1	prodigal	v2.6.3
56	ERR1713356_000000001258	3276	3684	f	0	1	prodigal	v2.6.3
57	ERR1713356_000000001258	3680	5660	f	0	1	prodigal	v2.6.3
58	ERR1713356_000000001258	5828	7085	f	0	1	prodigal	v2.6.3
59	ERR1713356_000000001258	7062	8196	f	0	1	prodigal	v2.6.3
60	ERR1713356_000000001258	8300	8840	f	1	1	prodigal	v2.6.3
61	ERR1713356_000000001399	0	567	f	1	1	prodigal	v2.6.3
62	ERR1713356_000000001399	724	1336	f	0	1	prodigal	v2.6.3
63	ERR1713356_000000001399	1422	2478	r	1	1	prodigal	v2.6.3
64	ERR1713356_000000001507	1	826	f	1	1	prodigal	v2.6.3
65	ERR1713356_000000001507	1029	2046	f	0	1	prodigal	v2.6.3
66	ERR1713356_000000001627	0	111	r	1	1	prodigal	v2.6.3
67	ERR1713356_000000001627	97	2107	r	1	1	prodigal	v2.6.3
68	ERR1713356_000000001743	208	1165	f	0	1	prodigal	v2.6.3
69	ERR1713356_000000001743	1272	1518	r	0	1	prodigal	v2.6.3
70	ERR1713356_000000001743	1711	1936	f	0	1	prodigal	v2.6.3
71	ERR1713356_000000001743	2151	2307	f	0	1	prodigal	v2.6.3
72	ERR1713356_000000001743	2616	2841	f	0	1	prodigal	v2.6.3
73	ERR1713356_000000001888	0	165	f	1	1	prodigal	v2.6.3
74	ERR1713356_000000001888	204	663	f	0	1	prodigal	v2.6.3
75	ERR1713356_000000001888	738	1371	r	0	1	prodigal	v2.6.3
76	ERR1713356_000000001888	1437	2919	r	0	1	prodigal	v2.6.3
77	ERR1713356_000000001888	3419	3779	f	0	1	prodigal	v2.6.3
78	ERR1713356_000000001888	3762	3927	f	1	1	prodigal	v2.6.3
