gene_callers_id	source	accession	function	e_value
45681	KOfam	K08970	nickel/cobalt transporter (NicO) family protein	4.2e-86
50235	KOfam	K03831	molybdopterin adenylyltransferase [EC:2.7.7.75]	5.3e-84
50041	KOfam	K01940	argininosuccinate synthase [EC:6.3.4.5]	4.9e-184
44736	KOfam	K01940	argininosuccinate synthase [EC:6.3.4.5]	1.3e-176
47371	KOfam	K01940	argininosuccinate synthase [EC:6.3.4.5]	1.5e-111
45167	KOfam	K06975	uncharacterized protein	1.7e-25
44828	KOfam	K01997	branched-chain amino acid transport system permease protein	1.8e-100
44921	KOfam	K01997	branched-chain amino acid transport system permease protein	6e-87
47135	KOfam	K01997	branched-chain amino acid transport system permease protein	2.2e-86
49154	KOfam	K01997	branched-chain amino acid transport system permease protein	1.5e-45
49939	KOfam	K02246	competence protein ComGD	1.1e-27
47402	KOfam	K02520	translation initiation factor IF-3	1.4e-72
50871	KOfam	K02520	translation initiation factor IF-3	1e-71
45144	KOfam	K01029	3-oxoacid CoA-transferase subunit B [EC:2.8.3.5]	3.9e-117
50282	KOfam	K00337	NADH-quinone oxidoreductase subunit H [EC:7.1.1.2]	4.6e-143
48750	KOfam	K00337	NADH-quinone oxidoreductase subunit H [EC:7.1.1.2]	8.8e-124
49030	KOfam	K09461	anthraniloyl-CoA monooxygenase [EC:1.14.13.40]	2.9e-221
46566	KOfam	K11206	deaminated glutathione amidase [EC:3.5.1.128]	2e-87
45069	KOfam	K03602	exodeoxyribonuclease VII small subunit [EC:3.1.11.6]	6.1e-12
44965	KOfam	K07470	DNA gyrase inhibitor	1.2e-77
50997	KOfam	K07316	adenine-specific DNA-methyltransferase [EC:2.1.1.72]	9.6e-90
48595	KOfam	K19128	CRISPR-associated protein Csy2	6.5e-90
50464	KOfam	K05501	TetR/AcrR family transcriptional regulator	5.4e-85
46394	KOfam	K05501	TetR/AcrR family transcriptional regulator	5.4e-76
46744	KOfam	K02911	large subunit ribosomal protein L32	5.2e-16
45786	KOfam	K02911	large subunit ribosomal protein L32	3.5e-14
47426	KOfam	K02911	large subunit ribosomal protein L32	4.3e-07
48847	KOfam	K00135	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]	2.9e-251
48689	KOfam	K00135	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]	2.3e-182
48922	KOfam	K02044	phosphonate transport system substrate-binding protein	1.5e-46
45428	KOfam	K02050	NitT/TauT family transport system permease protein	1.5e-66
46862	KOfam	K02050	NitT/TauT family transport system permease protein	1.8e-63
49295	KOfam	K02050	NitT/TauT family transport system permease protein	3.7e-60
49489	KOfam	K02050	NitT/TauT family transport system permease protein	1.8e-55
45421	KOfam	K00121	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	1.9e-217
49839	KOfam	K07666	two-component system, OmpR family, response regulator QseB	5.6e-101
50567	KOfam	K00109	2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]	1.1e-142
48983	KOfam	K02078	acyl carrier protein	8.5e-32
47431	KOfam	K02078	acyl carrier protein	8.3e-31
50070	KOfam	K07114	Ca-activated chloride channel homolog	5.3e-35
45133	KOfam	K08227	MFS transporter, LPLT family, lysophospholipid transporter	6.4e-145
47726	KOfam	K00928	aspartate kinase [EC:2.7.2.4]	4.1e-156
45120	KOfam	K00928	aspartate kinase [EC:2.7.2.4]	3.2e-126
46300	KOfam	K13954	alcohol dehydrogenase [EC:1.1.1.1]	4.4e-189
46210	KOfam	K18829	antitoxin VapB	9.7e-23
46761	KOfam	K18829	antitoxin VapB	5.4e-21
50691	KOfam	K18829	antitoxin VapB	2.2e-16
46776	KOfam	K02871	large subunit ribosomal protein L13	4.6e-73
48473	KOfam	K02871	large subunit ribosomal protein L13	8.6e-71
49399	KOfam	K02871	large subunit ribosomal protein L13	4.9e-23
48327	KOfam	K09930	uncharacterized protein	6.3e-117
50524	KOfam	K21064	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]	2.5e-68
45841	KOfam	K21064	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]	2.3e-66
46491	KOfam	K21064	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]	1e-59
47318	KOfam	K00041	tagaturonate reductase [EC:1.1.1.58]	8.5e-221
46100	KOfam	K02656	type IV pilus assembly protein PilF	1.1e-75
48781	KOfam	K01439	succinyl-diaminopimelate desuccinylase [EC:3.5.1.18]	3.9e-111
47411	KOfam	K01439	succinyl-diaminopimelate desuccinylase [EC:3.5.1.18]	5.3e-88
44943	KOfam	K03574	8-oxo-dGTP diphosphatase [EC:3.6.1.55]	9.6e-21
49870	KOfam	K03574	8-oxo-dGTP diphosphatase [EC:3.6.1.55]	3.7e-19
50930	KOfam	K07712	two-component system, NtrC family, nitrogen regulation response regulator GlnG	2.3e-210
46096	KOfam	K03560	biopolymer transport protein TolR	4e-49
45799	KOfam	K03560	biopolymer transport protein TolR	2e-46
49826	KOfam	K03789	[ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266]	8.4e-45
48275	KOfam	K03789	[ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266]	1.2e-44
45748	KOfam	K03789	[ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266]	2e-37
45747	KOfam	K03789	[ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266]	5e-37
48408	KOfam	K02483	two-component system, OmpR family, response regulator	1.2e-81
50805	KOfam	K02483	two-component system, OmpR family, response regulator	1.3e-80
47363	KOfam	K02483	two-component system, OmpR family, response regulator	1.8e-79
51088	KOfam	K02483	two-component system, OmpR family, response regulator	5.2e-79
45263	KOfam	K02483	two-component system, OmpR family, response regulator	2e-78
50898	KOfam	K02483	two-component system, OmpR family, response regulator	5.2e-78
49839	KOfam	K02483	two-component system, OmpR family, response regulator	3.1e-77
45124	KOfam	K02483	two-component system, OmpR family, response regulator	6.6e-76
47741	KOfam	K02483	two-component system, OmpR family, response regulator	5.4e-74
49802	KOfam	K02483	two-component system, OmpR family, response regulator	1.1e-73
49090	KOfam	K01808	ribose 5-phosphate isomerase B [EC:5.3.1.6]	2.6e-72
46380	KOfam	K00525	ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]	1.2e-212
49610	KOfam	K00525	ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]	1.6e-204
45666	KOfam	K00525	ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]	5e-187
51095	KOfam	K02454	general secretion pathway protein E [EC:7.4.2.8]	4.2e-204
50697	KOfam	K02440	glycerol uptake facilitator protein	9.7e-106
45648	KOfam	K04031	ethanolamine utilization protein EutS	4.8e-49
49448	KOfam	K06140	regulator of nucleoside diphosphate kinase	4e-53
45731	KOfam	K06140	regulator of nucleoside diphosphate kinase	3.2e-51
45925	KOfam	K06140	regulator of nucleoside diphosphate kinase	5.4e-45
45074	KOfam	K06168	tRNA-2-methylthio-N6-dimethylallyladenosine synthase [EC:2.8.4.3]	1.6e-214
49622	KOfam	K06168	tRNA-2-methylthio-N6-dimethylallyladenosine synthase [EC:2.8.4.3]	5.9e-208
51068	KOfam	K01607	4-carboxymuconolactone decarboxylase [EC:4.1.1.44]	4.1e-59
45137	KOfam	K01607	4-carboxymuconolactone decarboxylase [EC:4.1.1.44]	8.6e-39
48281	KOfam	K01607	4-carboxymuconolactone decarboxylase [EC:4.1.1.44]	3.4e-07
45760	KOfam	K01607	4-carboxymuconolactone decarboxylase [EC:4.1.1.44]	4.2e-07
48085	KOfam	K03776	aerotaxis receptor	3.8e-183
45659	KOfam	K04019	ethanolamine utilization protein EutA	3.2e-175
49648	KOfam	K03762	MFS transporter, MHS family, proline/betaine transporter	3.5e-141
45689	KOfam	K01613	phosphatidylserine decarboxylase [EC:4.1.1.65]	2.4e-30
50808	KOfam	K07262	serine-type D-Ala-D-Ala endopeptidase (penicillin-binding protein 7) [EC:3.4.21.-]	5.7e-125
45882	KOfam	K07262	serine-type D-Ala-D-Ala endopeptidase (penicillin-binding protein 7) [EC:3.4.21.-]	1.4e-116
48537	KOfam	K01174	micrococcal nuclease [EC:3.1.31.1]	2.3e-42
47404	KOfam	K01174	micrococcal nuclease [EC:3.1.31.1]	9.8e-28
46110	KOfam	K03763	DNA polymerase III subunit alpha, Gram-positive type [EC:2.7.7.7]	0
48887	KOfam	K03763	DNA polymerase III subunit alpha, Gram-positive type [EC:2.7.7.7]	1.1e-293
49481	KOfam	K07263	zinc protease [EC:3.4.24.-]	4.7e-123
45718	KOfam	K07263	zinc protease [EC:3.4.24.-]	3.6e-122
50165	KOfam	K07277	outer membrane protein insertion porin family	2.5e-93
48973	KOfam	K02469	DNA gyrase subunit A [EC:5.6.2.2]	0
45650	KOfam	K04030	ethanolamine utilization protein EutQ	6.4e-83
46515	KOfam	K00242	succinate dehydrogenase / fumarate reductase, membrane anchor subunit	5.1e-27
45656	KOfam	K04024	ethanolamine utilization protein EutJ	3.1e-108
46339	KOfam	K02455	general secretion pathway protein F	5.5e-128
50731	KOfam	K03978	GTP-binding protein	4.4e-78
47388	KOfam	K03978	GTP-binding protein	1.4e-68
48066	KOfam	K01809	mannose-6-phosphate isomerase [EC:5.3.1.8]	2.6e-70
45711	KOfam	K06182	23S rRNA pseudouridine2604 synthase [EC:5.4.99.21]	1.2e-91
49304	KOfam	K06182	23S rRNA pseudouridine2604 synthase [EC:5.4.99.21]	7.2e-81
45184	KOfam	K00281	glycine dehydrogenase [EC:1.4.4.2]	0
49496	KOfam	K03561	biopolymer transport protein ExbB	8.1e-52
48728	KOfam	K03561	biopolymer transport protein ExbB	2.3e-50
47753	KOfam	K03561	biopolymer transport protein ExbB	7e-49
49892	KOfam	K03561	biopolymer transport protein ExbB	1.7e-47
46014	KOfam	K03561	biopolymer transport protein ExbB	9.8e-47
45798	KOfam	K03561	biopolymer transport protein ExbB	7.5e-45
49328	KOfam	K03561	biopolymer transport protein ExbB	1.7e-44
47896	KOfam	K03561	biopolymer transport protein ExbB	1.4e-40
50894	KOfam	K03561	biopolymer transport protein ExbB	3.4e-40
48076	KOfam	K03575	A/G-specific adenine glycosylase [EC:3.2.2.31]	2.7e-51
48059	KOfam	K13766	methylglutaconyl-CoA hydratase [EC:4.2.1.18]	8.5e-112
44900	KOfam	K02657	twitching motility two-component system response regulator PilG	1.3e-67
47639	KOfam	K03549	KUP system potassium uptake protein	3.4e-199
50172	KOfam	K02864	large subunit ribosomal protein L10	2.9e-55
46398	KOfam	K02864	large subunit ribosomal protein L10	7.2e-54
46760	KOfam	K18828	tRNA(fMet)-specific endonuclease VapC [EC:3.1.-.-]	1.1e-49
46211	KOfam	K18828	tRNA(fMet)-specific endonuclease VapC [EC:3.1.-.-]	3.2e-36
50690	KOfam	K18828	tRNA(fMet)-specific endonuclease VapC [EC:3.1.-.-]	2.3e-34
49172	KOfam	K05845	osmoprotectant transport system substrate-binding protein	3.2e-92
49397	KOfam	K07115	23S rRNA (adenine2030-N6)-methyltransferase [EC:2.1.1.266]	8e-124
47167	KOfam	K07115	23S rRNA (adenine2030-N6)-methyltransferase [EC:2.1.1.266]	2e-123
49575	KOfam	K00108	choline dehydrogenase [EC:1.1.99.1]	4e-244
46897	KOfam	K07667	two-component system, OmpR family, KDP operon response regulator KdpE	3.4e-115
46743	KOfam	K07101	uncharacterized protein	8e-52
48353	KOfam	K07101	uncharacterized protein	1.1e-44
45426	KOfam	K02051	NitT/TauT family transport system substrate-binding protein	1.3e-49
49490	KOfam	K02051	NitT/TauT family transport system substrate-binding protein	2.2e-49
45868	KOfam	K02051	NitT/TauT family transport system substrate-binding protein	4.4e-43
49298	KOfam	K02051	NitT/TauT family transport system substrate-binding protein	6.5e-41
50422	KOfam	K00134	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	3.8e-181
45194	KOfam	K00134	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	1.3e-146
50603	KOfam	K00134	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	2.5e-139
50780	KOfam	K00134	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	8.1e-100
45187	KOfam	K00652	8-amino-7-oxononanoate synthase [EC:2.3.1.47]	1.4e-143
50370	KOfam	K19303	murein DD-endopeptidase [EC:3.4.-.-]	9.7e-87
