bins	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy	t_domain	t_phylum	t_class	t_order	t_family	t_genus	t_species
student389_ERR4998600_Bin_00013	1029736	382	2649	46.38370182008196	46.478873239436616	2.816901408450704							
student389_ERR4998600_Bin_00014	2162607	501	4720	63.46121581717146	47.88732394366197	5.633802816901408	Bacteria	Desulfobacterota	MBNT15	MBNT15	MBNT15	CG2-30-66-27	
student389_ERR4998600_Bin_00015	1634135	427	3993	72.39312909981822	54.929577464788736	14.084507042253522	Bacteria	Chloroflexota	Ellin6529	CSP1-4	CSP1-4		
student389_ERR4998600_Bin_00016	442842	89	6485	70.33595415870342	46.478873239436616	5.633802816901408	Bacteria	Chloroflexota	Ellin6529	CSP1-4	CSP1-4		
student389_ERR4998600_Bin_00017	1176762	406	2839	69.22027735453405	40.84507042253521	2.816901408450704	Bacteria	Actinobacteriota	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Fen-668	Fen-668 sp003153855
student389_ERR4998600_Bin_00018	1793717	143	22274	70.23105494589734	45.070422535211264	7.042253521126761	Bacteria	Chloroflexota	Ellin6529	CSP1-4	CSP1-4		
student389_ERR4998600_Bin_00019	1660614	531	3109	70.25563550750587	36.61971830985915	4.225352112676056	Bacteria	Acidobacteriota	Thermoanaerobaculia	UBA5066	UBA5066	Fen-183	Fen-183 sp003152095
student389_ERR4998600_Bin_00020	814585	167	5201	64.89728679110594	29.577464788732396	0.0							
student389_ERR4998600_Bin_00021	1025135	347	2853	65.18552839930759	30.985915492957748	1.408450704225352	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	RBG-16-66-30	RBG-16-66-30	RBG-16-66-30 sp001773855
student389_ERR4998600_Bin_00022	310493	79	4500	67.38953693978078	28.169014084507044	0.0	Bacteria	Actinobacteriota	Thermoleophilia	UBA2241	UBA2241	PALSA-647	PALSA-647 sp003132585
student389_ERR4998600_Bin_00023	450896	136	3308	70.49958785515076	32.394366197183096	5.633802816901408							
