Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Additional_Notes
student389_ERR1713356_MAG_00001-contigs	84.1	4.63	Neural Network (Specific Model)	11	None
student389_ERR1713356_MAG_00002-contigs	81.5	0.65	Neural Network (Specific Model)	11	None
student389_ERR1713356_MAG_00003-contigs	80.96	2.66	Gradient Boost (General Model)	11	None
student389_ERR1713356_MAG_00004-contigs	70.76	0.14	Gradient Boost (General Model)	11	None
student389_ERR1713356_MAG_00005-contigs	70.27	1.4	Neural Network (Specific Model)	11	None
student389_ERR1713356_MAG_00006-contigs	59.82	5.49	Neural Network (Specific Model)	11	None
student389_ERR1713356_MAG_00007-contigs	36.94	0.75	Neural Network (Specific Model)	11	None
student389_ERR1713356_MAG_00008-contigs	57.34	0.54	Neural Network (Specific Model)	11	None
student389_ERR1713356_MAG_00009-contigs	33.04	2.36	Neural Network (Specific Model)	11	None
student389_ERR1713356_MAG_00010-contigs	39.67	0.09	Neural Network (Specific Model)	11	None
student389_ERR1713356_MAG_00011-contigs	43.62	4.04	Neural Network (Specific Model)	11	None
student389_ERR1713356_MAG_00012-contigs	50.05	4.75	Neural Network (Specific Model)	11	None
student389_ERR1713356_MAG_00013-contigs	66.22	4.92	Neural Network (Specific Model)	11	None
student389_ERR1713356_MAG_00014-contigs	47.62	5.56	Neural Network (Specific Model)	11	None
student389_ERR2683233_MAG_00001-contigs	99.29	2.53	Gradient Boost (General Model)	11	None
student389_ERR2683233_MAG_00002-contigs	97.94	0.82	Gradient Boost (General Model)	11	None
student389_ERR2683233_MAG_00003-contigs	91.66	2.89	Gradient Boost (General Model)	11	None
student389_ERR2683233_MAG_00004-contigs	72.1	1.09	Neural Network (Specific Model)	11	None
student389_ERR2683233_MAG_00005-contigs	87.17	4.21	Gradient Boost (General Model)	11	None
student389_ERR2683233_MAG_00006-contigs	60.65	0.65	Neural Network (Specific Model)	11	None
student389_ERR2683233_MAG_00007-contigs	75.0	1.87	Neural Network (Specific Model)	11	None
student389_ERR2683233_MAG_00008-contigs	49.59	5.22	Neural Network (Specific Model)	11	None
student389_ERR2683233_MAG_00009-contigs	80.6	2.53	Neural Network (Specific Model)	11	None
student389_ERR2683233_MAG_00010-contigs	48.31	1.11	Gradient Boost (General Model)	11	None
student389_ERR2683233_MAG_00011-contigs	79.91	7.58	Gradient Boost (General Model)	11	None
student389_ERR4998600_MAG_00001-contigs	92.67	0.47	Gradient Boost (General Model)	11	None
student389_ERR4998600_MAG_00002-contigs	96.18	1.51	Gradient Boost (General Model)	11	None
student389_ERR4998600_MAG_00003-contigs	95.47	1.37	Gradient Boost (General Model)	11	None
student389_ERR4998600_MAG_00004-contigs	82.64	3.92	Gradient Boost (General Model)	11	None
student389_ERR4998600_MAG_00005-contigs	72.56	7.82	Gradient Boost (General Model)	11	None
student389_ERR4998600_MAG_00006-contigs	70.04	8.21	Gradient Boost (General Model)	11	None
student389_ERR4998600_MAG_00007-contigs	64.19	2.33	Gradient Boost (General Model)	11	None
student389_ERR4998600_MAG_00008-contigs	52.0	0.8	Gradient Boost (General Model)	11	None
student389_ERR4998600_MAG_00009-contigs	53.6	0.2	Neural Network (Specific Model)	11	None
student389_ERR4998600_MAG_00010-contigs	42.85	2.24	Gradient Boost (General Model)	11	None
student389_ERR4998600_MAG_00011-contigs	96.18	1.54	Gradient Boost (General Model)	11	None
student389_ERR4998600_MAG_00012-contigs	28.81	1.63	Neural Network (Specific Model)	11	None
student389_ERR4998601_MAG_00001-contigs	81.36	0.27	Gradient Boost (General Model)	11	None
student389_ERR4998601_MAG_00002-contigs	56.34	0.25	Neural Network (Specific Model)	11	None
student389_ERR4998601_MAG_00003-contigs	59.61	4.46	Gradient Boost (General Model)	11	None
